Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:15:45:42.963,61,0.068028636,0.069331013,0.302544206,0,0,0.140668884,0,0.097519696,0.070712902,0,0.244423345,0,0.179087728,0,0,0.032033134,0,0,0,0,0.100873701,0,0.054732334,0,0,0.111495324,0.115995042,0,0,0,0,0,0,0.068079062,0.062924154,0.025855852,0.050856613,0,0,0,0,0.018500257,0.034669966,0,0,0,0.057649475,0,0,0.006595641,0,0,-0.623893321,0.021511253,-0.024670553,0.180329144,0.042121675,0.010880093,0.169994116,0.042146161,0.013425241
23:15:45:43.965,61,0.070702076,0.061769266,0.209292233,0,0,0.149191126,0,0.107054777,0.062683426,0,0.155001104,0,0.194502369,0,0,0.032846719,0,0,0,0,0.117879771,0,0.05443304,0,0,0.112432323,0.118907422,0,0,0,0,0,0,0.071841657,0.063185677,0.026841931,0.051484529,0,0,0,0,0.020062503,0.036930412,0,0,0,0.063845858,0,0,0.010148204,0.000618618,0,-0.627798796,0.022816842,-0.02445228,0.125857592,0.036950547,0.006720299,0.117619515,0.036974415,0.009082812
23:15:45:44.966,61,0.072455272,0.058146149,0.193591729,0,0,0.154192448,0,0.111189708,0.058964863,0,0.139985919,0,0.202960283,0,0,0.033637084,0,0,0,0,0.142652124,0,0.05577559,0,0,0.121148557,0.121843532,0,0,0,0,0,0,0.07750909,0.063579626,0.028130641,0.052684061,0,0,0,0,0.021175813,0.03848581,0,0,0,0.070575588,0,0,0.012812498,0.00342769,0,-0.632086873,0.024969213,-0.025574815,0.116714716,0.03471474,0.005958113,0.108810961,0.034738287,0.008188612
23:15:45:45.968,61,0.073627256,0.057433251,0.231686577,0,0,0.158519,0,0.113487184,0.058394913,0,0.176431999,0,0.212193057,0,0,0.034727909,0,0,0,0,0.150551006,0,0.056390677,0,0,0.123959579,0.123213552,0,0,0,0,0,0,0.080505222,0.064048059,0.029025221,0.053543177,0,0,0,0,0.022044251,0.039760709,0,0,0,0.073546164,0,0,0.0153974,0.00623021,0,-0.634126425,0.026428524,-0.024981599,0.138939872,0.034509402,0.007273145,0.130240038,0.034533009,0.00942919
23:15:45:46.969,61,0.074575447,0.056309734,0.236452103,0,0,0.162433922,0,0.115034252,0.057278227,0,0.181029484,0,0.222016767,0,0,0.035706352,0,0,0,0,0.14396292,0,0.057062827,0,0,0.126771972,0.12423721,0,0,0,0,0,0,0.082086623,0.064358383,0.029745514,0.054247331,0,0,0,0,0.022475861,0.040563572,0,0,0,0.075301595,0,0,0.01672709,0.00771209,0,-0.637689471,0.02855723,-0.025474507,0.141747549,0.03387038,0.007370627,0.132927269,0.033893853,0.009473403
23:15:45:47.971,61,0.075258479,0.053832941,0.269760072,0,0,0.164446399,0,0.115762048,0.054899,0,0.212961942,0,0.231391475,0,0,0.038594559,0,0,0,0,0.138722256,0,0.057105146,0,0,0.128698438,0.12569873,0,0,0,0,0,0,0.08332213,0.064855918,0.030349117,0.054832608,0,0,0,0,0.023008121,0.041378222,0,0,0,0.076342724,0,0,0.017636325,0.008726017,0,-0.640564501,0.030409213,-0.026519578,0.161229983,0.03260649,0.008359115,0.151677668,0.032629922,0.010319737
23:15:45:48.972,61,0.075866245,0.057920057,0.305594921,0,0,0.16647166,0,0.116315968,0.059167754,0,0.24743019,0,0.24273929,0,0,0.040460605,0,0,0,0,0.136599809,0,0.057264373,0,0,0.130314082,0.126636386,0,0,0,0,0,0,0.085696556,0.065764077,0.031015996,0.055539273,0,0,0,0,0.023447027,0.042145819,0,0,0,0.077888884,0,0,0.018393606,0.009649808,0,-0.64367038,0.032546025,-0.026822951,0.182227179,0.035306778,0.009979054,0.171802655,0.035330519,0.012057003
23:15:45:49.974,61,0.076433852,0.059839368,0.33745271,0,0,0.16858691,0,0.116830111,0.061230633,0,0.278153241,0,0.26452297,0,0,0.043598667,0,0,0,0,0.128137678,0,0.057571974,0,0,0.132307246,0.127101898,0,0,0,0,0,0,0.087323539,0.066617578,0.031574052,0.05615877,0,0,0,0,0.024132013,0.044513367,0,0,0,0.078742877,0,0,0.019121474,0.011272946,0,-0.646826088,0.032723203,-0.027116679,0.20094724,0.036716621,0.011345848,0.189702541,0.036740519,0.013453363
23:15:45:50.975,61,0.076950856,0.061352938,0.349679619,0,0,0.170850739,0,0.117273137,0.062812574,0,0.28980273,0,0.28032738,0,0,0.045672871,0,0,0,0,0.122958146,0,0.057437833,0,0,0.132915899,0.127332404,0,0,0,0,0,0,0.088095613,0.067196332,0.032045785,0.056652118,0,0,0,0,0.025027974,0.046841208,0,0,0,0.079313658,0,0,0.020168284,0.012873489,0,-0.649287224,0.03412348,-0.02782286,0.208039403,0.037734609,0.011961752,0.196564674,0.037758701,0.014116339
23:15:45:51.977,61,0.077482447,0.066860341,0.397637844,0,0,0.173275679,0,0.117870681,0.068584234,0,0.336116672,0,0.30586952,0,0,0.04802144,0,0,0,0,0.120922655,0,0.057795357,0,0,0.133636728,0.127353638,0,0,0,0,0,0,0.088860683,0.067823522,0.032625265,0.057324715,0,0,0,0,0.028666193,0.054425374,0,0,0,0.082619958,0,0.001807219,0.022324961,0.017076206,0,-0.652155042,0.034863293,-0.027831778,0.236228779,0.041531291,0.014494005,0.223474652,0.041555814,0.016787674
23:15:45:52.979,61,0.077973798,0.066435859,0.396536022,0,0,0.174586132,0,0.11842332,0.068149529,0,0.335010201,0,0.327271104,0,0,0.050875727,0,0,0,0,0.127666846,0,0.057732206,0,0,0.133929119,0.127309471,0,0,0,0,0,0,0.089476503,0.068394437,0.033263352,0.058097377,0,0,0,0,0.035923224,0.063628525,0,0,0,0.086325064,0.001345526,0.003923319,0.027438041,0.021666367,0,-0.653879881,0.035366826,-0.028811988,0.235557854,0.041262116,0.014394986,0.222859711,0.041286513,0.016675608
